Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Einnamen,"9.855,50"
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Ausgaben,"138.192,66"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Einnamen,"76.263,91"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Ausgaben,"4.127.541,87"
01,0103,"OB, BM und Verwaltungsführung",Einnamen,"50.190,54"
01,0103,"OB, BM und Verwaltungsführung",Ausgaben,"3.947.527,46"
01,0104,Gleichstellung von Frau und Mann,Einnamen,"14.888,54"
01,0104,Gleichstellung von Frau und Mann,Ausgaben,"657.554,55"
01,0105,Personal- und Schwerbehindertenvertretung,Einnamen,"127.306,64"
01,0105,Personal- und Schwerbehindertenvertretung,Ausgaben,"914.053,48"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Einnamen,"43.583,69"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Ausgaben,"1.177.198,12"
01,0107,Public Relations,Einnamen,"80.679,26"
01,0107,Public Relations,Ausgaben,"1.283.411,46"
01,0108,Personal- und Organisationsmanagement,Einnamen,"1.396.014,85"
01,0108,Personal- und Organisationsmanagement,Ausgaben,"8.775.589,19"
01,0109,Finanz- und Beteiligungsmanagement,Einnamen,"1.786.200,70"
01,0109,Finanz- und Beteiligungsmanagement,Ausgaben,"8.535.733,70"
01,0110,Recht,Einnamen,"982.353,98"
01,0110,Recht,Ausgaben,"1.958.717,76"
01,0111,Immobilienmanagement,Einnamen,"26.970.660,80"
01,0111,Immobilienmanagement,Ausgaben,"83.789.973,81"
01,0113,Zentrale Dienste,Einnamen,"1.442.744,52"
01,0113,Zentrale Dienste,Ausgaben,"2.803.815,69"
01,0114,Stiftungsmanagement,Einnamen,"167.952,48"
01,0114,Stiftungsmanagement,Ausgaben,"375.111,40"
01,0115,IT-Management (citeq),Einnamen,"416.675,17"
01,0115,IT-Management (citeq),Ausgaben,"331.548,29"
01,0116,Migrations- und Integrationsmanagement,Einnamen,"39.765,19"
01,0116,Migrations- und Integrationsmanagement,Ausgaben,"536.813,46"
02,0201,Ordnungsrechtliche Angelegenheiten,Einnamen,"801.892,12"
02,0201,Ordnungsrechtliche Angelegenheiten,Ausgaben,"1.954.970,13"
