Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Einnamen,"26.440,00"
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Ausgaben,"287.386,46"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Einnamen,"55.209,08"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Ausgaben,"3.064.396,16"
01,0103,"OB, BM und Verwaltungsführung",Einnamen,"43.500,00"
01,0103,"OB, BM und Verwaltungsführung",Ausgaben,"3.067.955,15"
01,0104,Gleichstellung von Frau und Mann,Einnamen,"17.649,05"
01,0104,Gleichstellung von Frau und Mann,Ausgaben,"599.502,70"
01,0105,Personal- und Schwerbehindertenvertretung,Einnamen,"73.465,00"
01,0105,Personal- und Schwerbehindertenvertretung,Ausgaben,"755.911,28"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Einnamen,"43.264,00"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Ausgaben,"1.148.003,80"
01,0107,Public Relations,Einnamen,"114.751,36"
01,0107,Public Relations,Ausgaben,"1.237.207,03"
01,0108,Personal- und Organisationsmanagement,Einnamen,"1.714.638,21"
01,0108,Personal- und Organisationsmanagement,Ausgaben,"6.782.043,84"
01,0109,Finanz- und Beteiligungsmanagement,Einnamen,"1.668.673,25"
01,0109,Finanz- und Beteiligungsmanagement,Ausgaben,"7.861.124,74"
01,0110,Recht,Einnamen,"444.694,21"
01,0110,Recht,Ausgaben,"1.688.970,51"
01,0111,Immobilienmanagement,Einnamen,"32.604.847,73"
01,0111,Immobilienmanagement,Ausgaben,"24.700.627,03"
01,0112,Gebäudemanagement,Einnamen,"8.944.860,16"
01,0112,Gebäudemanagement,Ausgaben,"56.431.157,88"
01,0113,Zentrale Dienste,Einnamen,"1.620.869,66"
01,0113,Zentrale Dienste,Ausgaben,"3.747.762,05"
01,0114,Stiftungsmanagement,Einnamen,"319.950,99"
01,0114,Stiftungsmanagement,Ausgaben,"388.087,54"
01,0115,IT-Management (citeq),Einnamen,"0,00"
01,0115,IT-Management (citeq),Ausgaben,"0,00"
01,0116,Migrations- und Integrationsmanagement,Einnamen,"176.417,30"
01,0116,Migrations- und Integrationsmanagement,Ausgaben,"659.204,11"
02,0201,Ordnungsrechtliche Angelegenheiten,Einnamen,"674.790,99"
02,0201,Ordnungsrechtliche Angelegenheiten,Ausgaben,"2.070.765,37"
02,0202,Gewerberechtliche Angelegenheiten,Einnamen,"1.468.939,07"
02,0202,Gewerberechtliche Angelegenheiten,Ausgaben,"1.485.736,24"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Einnamen,"9.062.184,15"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Ausgaben,"6.732.100,97"
02,0204,Bürgerangelegenheiten,Einnamen,"1.717.697,81"
02,0204,Bürgerangelegenheiten,Ausgaben,"5.631.516,45"
02,0205,Standesamtsangelegenheiten,Einnamen,"531.915,48"
02,0205,Standesamtsangelegenheiten,Ausgaben,"1.220.554,94"
02,0206,Ausländerangelegenheiten,Einnamen,"311.330,87"
02,0206,Ausländerangelegenheiten,Ausgaben,"1.577.205,01"
02,0207,Statistik,Einnamen,"1.618,07"
02,0207,Statistik,Ausgaben,"590.315,76"
02,0208,Wahlen,Einnamen,"502.619,84"
02,0208,Wahlen,Ausgaben,"1.345.689,78"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Einnamen,"987.400,01"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Ausgaben,"21.802.217,00"
02,0210,Rettungsdienst,Einnamen,"8.660.538,55"
02,0210,Rettungsdienst,Ausgaben,"9.420.535,77"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Einnamen,"85.331,85"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Ausgaben,"2.086.480,37"
