Code-1,Code-2,Bezeichnung,Richtung,Betrag
03,0301,Leistungen für Schulen,Erträge,"2.513.087,60"
03,0301,Leistungen für Schulen,Aufwendungen,"26.456.895,97"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Erträge,"655.093,56"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Aufwendungen,"11.293.710,78"
04,0401,Kulturmanagement / Kulturförderung,Erträge,"721.647,68"
04,0401,Kulturmanagement / Kulturförderung,Aufwendungen,"3.831.327,88"
04,0402,Volkshochschule,Erträge,"2.937.534,81"
04,0402,Volkshochschule,Aufwendungen,"3.673.369,74"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Erträge,"2.257.600,54"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Aufwendungen,"4.653.853,23"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Erträge,"756.688,97"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Aufwendungen,"5.117.869,69"
04,0405,Stadtmuseum,Erträge,"174.153,10"
04,0405,Stadtmuseum,Aufwendungen,"1.634.608,76"
04,0406,Stadtarchiv,Erträge,"17.411,81"
04,0406,Stadtarchiv,Aufwendungen,"743.483,95"
04,0407,Theater Münster,Erträge,"25.000,00"
04,0407,Theater Münster,Aufwendungen,"19.902.633,44"
04,0408,Geschichtsort Villa ten Hompel,Erträge,"387.989,65"
04,0408,Geschichtsort Villa ten Hompel,Aufwendungen,"741.584,50"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Erträge,"111.232.854,58"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Aufwendungen,"142.426.918,22"
05,0502,Sicherung des Lebensunterhalts,Erträge,"17.811.836,50"
05,0502,Sicherung des Lebensunterhalts,Aufwendungen,"38.311.797,83"
05,0503,Sicherung besonderer sozialer Bedarfe,Erträge,"5.297.111,36"
05,0503,Sicherung besonderer sozialer Bedarfe,Aufwendungen,"38.646.194,89"
05,0504,Wohngeld,Erträge,"3.878,83"
05,0504,Wohngeld,Aufwendungen,"1.361.297,10"
06,0601,Förderung von Kindern in Tagesbetreuung,Erträge,"46.825.509,67"
06,0601,Förderung von Kindern in Tagesbetreuung,Aufwendungen,"82.632.957,30"
06,0602,Kinder- und Jugendarbeit,Erträge,"7.765.914,51"
06,0602,Kinder- und Jugendarbeit,Aufwendungen,"16.071.613,10"
06,0603,Förderung von benachteiligten jungen Menschen,Erträge,"344.951,97"
06,0603,Förderung von benachteiligten jungen Menschen,Aufwendungen,"4.208.543,86"
06,0604,Familienförderung,Erträge,"358.064,36"
06,0604,Familienförderung,Aufwendungen,"3.260.013,85"
06,0605,Erzieherische und wirtschaftliche Hilfen für Familien,Erträge,"5.994.108,34"
06,0605,Erzieherische und wirtschaftliche Hilfen für Familien,Aufwendungen,"43.190.149,70"
07,0701,Gesundheitsdienste,Erträge,"837.804,64"
07,0701,Gesundheitsdienste,Aufwendungen,"9.908.705,47"
08,0801,"Sportentwicklung, Sportanlagen und -stätten",Erträge,"820.656,88"
08,0801,"Sportentwicklung, Sportanlagen und -stätten",Aufwendungen,"6.683.455,68"
08,0802,Bäder,Erträge,"1.513.957,24"
08,0802,Bäder,Aufwendungen,"4.083.827,90"
09,0901,"Stadt- und Regionalentwicklung, Stadtplanung",Erträge,"53.413,18"
09,0901,"Stadt- und Regionalentwicklung, Stadtplanung",Aufwendungen,"4.374.618,14"
09,0902,"Vermessung, Kataster und Geoinformation",Erträge,"791.046,06"
09,0902,"Vermessung, Kataster und Geoinformation",Aufwendungen,"6.636.216,79"
10,1001,Bauaufsicht und baurechtliche Beratung,Erträge,"2.455.432,44"
10,1001,Bauaufsicht und baurechtliche Beratung,Aufwendungen,"3.761.171,44"
10,1002,Denkmalschutz und Denkmalpflege,Erträge,"492.253,04"
10,1002,Denkmalschutz und Denkmalpflege,Aufwendungen,"845.608,16"
10,1003,Wohnen,Erträge,"377.550,43"
10,1003,Wohnen,Aufwendungen,"2.233.254,10"
11,1101,Abwasserbeseitigung,Erträge,"65.403.510,06"
11,1101,Abwasserbeseitigung,Aufwendungen,"35.610.041,61"
11,1102,Abfallwirtschaft (AWM),Erträge,"5.602.424,00"
11,1102,Abfallwirtschaft (AWM),Aufwendungen,"0,00"
