Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Erträge,"9.855,50"
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Aufwendungen,"138.192,66"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Erträge,"76.263,91"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Aufwendungen,"4.127.541,87"
01,0103,"OB, BM und Verwaltungsführung",Erträge,"50.190,54"
01,0103,"OB, BM und Verwaltungsführung",Aufwendungen,"3.947.527,46"
01,0104,Gleichstellung von Frau und Mann,Erträge,"14.888,54"
01,0104,Gleichstellung von Frau und Mann,Aufwendungen,"657.554,55"
01,0105,Personal- und Schwerbehindertenvertretung,Erträge,"127.306,64"
01,0105,Personal- und Schwerbehindertenvertretung,Aufwendungen,"914.053,48"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Erträge,"43.583,69"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Aufwendungen,"1.177.198,12"
01,0107,Public Relations,Erträge,"80.679,26"
01,0107,Public Relations,Aufwendungen,"1.283.411,46"
01,0108,Personal- und Organisationsmanagement,Erträge,"1.396.014,85"
01,0108,Personal- und Organisationsmanagement,Aufwendungen,"8.775.589,19"
01,0109,Finanz- und Beteiligungsmanagement,Erträge,"1.786.200,70"
01,0109,Finanz- und Beteiligungsmanagement,Aufwendungen,"8.535.733,70"
01,0110,Recht,Erträge,"982.353,98"
01,0110,Recht,Aufwendungen,"1.958.717,76"
01,0111,Immobilienmanagement,Erträge,"26.970.660,80"
01,0111,Immobilienmanagement,Aufwendungen,"83.789.973,81"
01,0113,Zentrale Dienste,Erträge,"1.442.744,52"
01,0113,Zentrale Dienste,Aufwendungen,"2.803.815,69"
01,0114,Stiftungsmanagement,Erträge,"167.952,48"
01,0114,Stiftungsmanagement,Aufwendungen,"375.111,40"
01,0115,IT-Management (citeq),Erträge,"416.675,17"
01,0115,IT-Management (citeq),Aufwendungen,"331.548,29"
01,0116,Migrations- und Integrationsmanagement,Erträge,"39.765,19"
